titulo;precio;proteinas;carbohidratos;grasas;fibra;calories;texto_busqueda;norm_precio;norm_nutri;score_nutricional
ARROZ EXTRA EROSKI BASIC, PAQUETE 1 KG;1.3;7.0;86.0;0.9;0.0;0.0;arroz extra eroski basic paquete 1 kg eroski;0.9757636122177955;21.21212121212121;6.56
ARROZ D.O.VALENCIA EROSKI, PAQUETE 1 KG;1.79;7.0;86.0;0.9;0.0;0.0;arroz dovalencia eroski paquete 1 kg eroski;0.9594953519256308;21.21212121212121;6.76
ARROZ BASMATI EROSKI, PAQUETE 1 KG;2.1;8.5;79.0;0.7;0.0;0.0;arroz basmati eroski paquete 1 kg eroski;0.9492031872509961;25.757575757575758;8.48
VASITOS DE ARROZ REDONDO BRILLANTE, PACK 2X125 G;1.25;4.0;42.0;1.0;0.0;0.0;vasitos de arroz redondo brillante pack 2x125 g eroski;0.9774236387782205;12.121212121212121;2.3
VASITOS DE ARROZ BASMATI BRILLANTE, PACK 2X125 G;1.34;4.1;35.0;2.9;0.0;0.0;vasitos de arroz basmati brillante pack 2x125 g eroski;0.9744355909694555;12.424242424242424;2.8
ARROZ VAPORIZADO BRILLANTE, CAJA 1 KG;1.98;6.9;75.0;1.8;0.0;0.0;arroz vaporizado brillante caja 1 kg eroski;0.953187250996016;20.90909090909091;6.28
ARROZ REDONDO SOS, BOLSA 2 KG;3.69;6.5;79.0;0.5;0.0;0.0;arroz redondo sos bolsa 2 kg eroski;0.896414342629482;19.696969696969695;6.3
ARROZ BASMATI TILDA, PAQUETE 1 KG;3.55;8.8;75.0;0.9;0.0;0.0;arroz basmati tilda paquete 1 kg eroski;0.901062416998672;26.666666666666668;8.5
VASITOS DE ARROZ REDONDO XL BRILLANTE, PACK 2X200 G;1.95;4.0;42.0;1.0;0.0;0.0;vasitos de arroz redondo xl brillante pack 2x200 g eroski;0.954183266932271;12.121212121212121;2.3
VASITOS DE ARROZ INTEGRAL BRILLANTE, PACK 2X125 G;1.25;4.0;31.0;2.7;0.0;0.0;vasitos de arroz integral brillante pack 2x125 g eroski;0.9774236387782205;12.121212121212121;2.9
